ticker,model,pred_len,RMSE,MAE,R2,VarianceRatio
VPB,Linear,1,2.2736,2.0175,-0.7075,1.0165
VPB,DLinear,1,1.8599,1.6088,-0.1427,0.9717
VPB,NLinear,1,0.7816,0.6064,0.7982,0.9437
VPB,Naive,5,1.0272,0.7926,0.6443,1.0129
VPB,Linear,5,3.3778,2.7674,-2.8466,1.3413
VPB,DLinear,5,2.8616,2.4559,-1.7608,1.5975
VPB,NLinear,5,1.2449,0.9623,0.4775,1.0447
VPB,Naive,21,1.6261,1.2637,0.0188,1.0738
VPB,Linear,21,4.5364,3.5711,-6.6358,2.9105
VPB,DLinear,21,6.4432,4.8444,-14.4045,3.811
VPB,NLinear,21,2.3587,1.7658,-1.0644,1.5493
